company_id,name,founded_year,industry,headquarters,employee_count,revenue (M USD)
185,"Diaz, Smith and Holt",2017,Food & Beverage,"East Billy, KS",13842,4407.99
186,Clarke-Munoz,1993,Finance,"East Kevin, AZ",8608,4391.84
187,Washington Ltd,1983,Food & Beverage,"West Jason, MD",11013,9300.52
188,Jones-Bird,1995,Manufacturing,"Jamesstad, UT",211,2894.9
189,"Quinn, Williams and Le",1959,Technology,"Port Lauren, NE",6446,4558.3
190,"Pacheco, Adams and Melendez",1959,Healthcare,"West Brittanyland, AZ",91,7227.15
191,Kelly-Robinson,2010,Food & Beverage,"Michaelchester, SC",10275,628.77
192,Ramos Ltd,2004,Finance,"North Patricia, DE",14668,8334.72
193,Hester LLC,2021,Technology,"North Austin, NJ",870,8959.05
194,Reed-York,2004,Retail,"West Kevin, CO",1188,6695.57
195,Powell-Mata,1993,Technology,"North Clifford, TX",6993,4907.14
196,Alexander PLC,1976,Finance,"East Shannon, OK",14423,9546.67
197,James-Charles,1987,Technology,"Williamschester, HI",3878,5643.82
198,Chavez LLC,1978,Healthcare,"Erikahaven, WI",1667,5155.68
199,"Armstrong, Nichols and Underwood",2008,Finance,"Gordonland, DE",2845,7371.0
200,Fleming and Sons,2008,Technology,"Hollymouth, WV",3048,2093.09
201,Madden PLC,1981,Healthcare,"New Derek, MN",8723,4655.55
202,Ellis Group,1979,Healthcare,"Deborahstad, OH",19376,395.97
203,Williams Inc,1951,Retail,"Williehaven, NH",12050,2037.03
204,Brown-Luna,1959,Manufacturing,"North William, MO",6233,7067.43
205,"Wells, Miller and Cook",1966,Healthcare,"Gomezburgh, IA",6058,3976.91
206,Werner-Carr,1966,Healthcare,"Andersonshire, NH",827,3753.02
207,"Miller, Davis and Hayes",2021,Technology,"South Gloria, PA",11376,8539.22
208,Brewer-Martinez,1961,Finance,"Lake Christianburgh, LA",10507,8084.71
209,Lopez Ltd,1964,Retail,"Christopherview, MS",16227,5444.03
210,Morgan Group,2007,Manufacturing,"Lake Lauren, CO",11638,3017.44
211,"Smith, Finley and Holmes",1966,Manufacturing,"West Nicolefurt, NH",16436,4889.6
212,"Mason, Gonzalez and Lamb",1963,Food & Beverage,"Christophermouth, WI",1436,6325.77
213,Ashley-Johnson,1996,Manufacturing,"Johnmouth, CO",6264,7246.15
214,Mcdaniel-Evans,1994,Healthcare,"North Autumn, SC",4041,7079.19
215,"Baker, Allen and Bailey",1985,Finance,"South Linda, WA",5740,2056.38
216,Washington-Wise,2020,Technology,"Lake Patriciaburgh, DE",9138,5909.71
217,Taylor-Shields,2006,Technology,"Tapiamouth, TX",10329,3453.04
218,White-Craig,2020,Retail,"East Kevin, GA",9843,6697.7
219,"Johnson, Brown and Branch",1951,Food & Beverage,"New Carlosfurt, CA",12386,4318.4
220,Schultz PLC,1957,Finance,"Melissaburgh, MA",10083,9648.61
221,Bailey and Sons,1976,Manufacturing,"Lake Cynthiaton, KY",10507,9161.79
222,Barton Ltd,1962,Healthcare,"Colemanberg, SD",8761,2052.72
223,"Conner, Koch and Collins",1984,Healthcare,"Tracymouth, DE",19164,7110.35
224,Lloyd-Wilson,1994,Healthcare,"Victoriaville, NH",18170,9282.46
225,"Morrison, George and Gilbert",1989,Healthcare,"Wellsland, IN",14235,7477.41
226,Hood-Harris,1956,Manufacturing,"Port Jennifer, NV",19560,710.56
227,"Hansen, Thompson and Jackson",2018,Finance,"Port Teresa, UT",12548,9524.4
228,Franklin Inc,2017,Healthcare,"East Chadfurt, WA",13742,3088.45
229,Mitchell-Brown,1987,Food & Beverage,"Lake Zachary, ND",17841,4053.38
230,Cruz-Sullivan,2007,Healthcare,"New Adam, AK",18441,181.68
231,"Barber, Archer and Gallagher",1950,Technology,"East Paulberg, IN",6331,7513.19
232,"Sheppard, Callahan and Costa",2019,Food & Beverage,"East Davidchester, AL",14328,9436.49
233,Russell Inc,1985,Food & Beverage,"Briannaburgh, NY",9552,1660.2
234,Cook-Reyes,2003,Healthcare,"Phelpsport, WY",18784,5093.78
235,Knight and Sons,1992,Finance,"West Curtisville, PA",18644,8401.17
236,Ayala-Zhang,2017,Retail,"Yangport, NJ",16709,3846.29
237,Riley-Barnes,2002,Finance,"New Brandon, PA",3708,2943.62
238,Johnson-Cox,2007,Healthcare,"Lisaborough, LA",7652,5204.51
239,"Gardner, Erickson and Gay",2015,Technology,"South Carl, TN",14910,5346.26
240,"Brewer, Cook and Steele",1953,Technology,"West Jessicaborough, MT",13829,6202.32
241,Skinner-Allen,1983,Manufacturing,"North Gary, RI",9975,4254.57
242,"Armstrong, Koch and Brown",1996,Technology,"Petermouth, ID",18425,1823.32
243,"Ware, Osborne and Parker",2005,Technology,"South Danielleview, SC",4526,4855.82
244,Griffin Ltd,1983,Technology,"Randychester, NM",18149,7638.0
245,Kirby-Price,1988,Finance,"Michaelchester, GA",2867,4673.97
246,"Martin, Duarte and Daniels",2012,Retail,"West Patriciaview, GA",2056,8969.79
247,Gonzalez-Davis,1997,Healthcare,"Port Alexport, NY",3828,6893.76
248,Newton-Carter,2003,Manufacturing,"Brownton, NV",10206,9898.48
249,Johnson Inc,1999,Finance,"Port Richard, OK",16485,7440.76
250,Butler-Lambert,1990,Manufacturing,"New Jodiport, AR",7886,4494.52
251,"Hanson, Stevens and Reid",2019,Technology,"Rayshire, OK",6066,5385.1
252,Ortiz Ltd,2018,Technology,"Berryberg, CO",9377,5866.29
253,Gould-Lee,1970,Finance,"West Kelly, MN",8859,9883.33
254,Wilson PLC,2022,Finance,"Smithborough, KY",7420,7338.17
255,"Morgan, Chandler and Garcia",1999,Food & Beverage,"North Veronica, CT",19322,8875.74
256,Mclean Ltd,1999,Finance,"Port Brettview, CO",18628,9313.46
257,"Perez, Gay and Burke",1977,Food & Beverage,"Avilafort, MI",271,5260.41
258,"Lewis, Huerta and Taylor",1999,Retail,"Curtiston, IN",10272,5832.13
259,"Hodge, Garrison and Sloan",2007,Technology,"Jennifershire, HI",4207,1121.3
260,"Obrien, Williams and Baker",1952,Manufacturing,"Martinport, OH",1447,5909.67
261,Scott-Cisneros,1965,Manufacturing,"North Jeremy, NE",19135,9365.4
262,Peterson Group,1974,Food & Beverage,"New Nicole, NH",16865,3810.05
263,Ho-Brown,2012,Food & Beverage,"Ericahaven, ND",15089,5177.31
264,Johnson-Johnson,1978,Retail,"West Lori, AL",19806,8610.32
265,"Hopkins, Walters and Hernandez",1955,Food & Beverage,"New Donald, TX",12695,9087.1
266,Pham-Myers,1981,Healthcare,"Erinville, OR",854,7771.83
267,Gilbert-Olson,2018,Food & Beverage,"Shellyhaven, KY",15487,4745.86
268,Wagner-Thompson,1951,Finance,"Erinberg, IL",1646,3028.2
269,"Martinez, Randall and Jones",1954,Manufacturing,"North Iantown, AZ",16102,2495.1
270,Fox-Johnson,2004,Food & Beverage,"Vegaville, LA",8977,9406.52
271,"Jackson, Dyer and Sanchez",2014,Retail,"Lake Johnside, ID",1198,2790.95
272,"Shelton, Henderson and Henry",1995,Technology,"Port Dianahaven, MI",882,2107.87
273,Warren Inc,1957,Food & Beverage,"Marquezside, MT",8505,1983.72
274,Wiggins-Baker,2020,Manufacturing,"East Christinahaven, MD",13485,209.23
275,Weaver Inc,2021,Technology,"New Robin, NM",16695,3661.08
276,Leon LLC,1969,Manufacturing,"Lake Michaelport, OH",5360,6192.58
277,Sanchez-Anderson,1977,Technology,"Johnsonshire, NJ",4956,6007.83
278,"Adams, Dixon and Collins",1972,Healthcare,"North Faithshire, IN",13116,8534.68
279,Hamilton Ltd,1967,Food & Beverage,"East Zachary, AL",1061,3730.76
280,Lamb-Stone,2019,Healthcare,"Gonzalezland, SC",7957,6042.39
281,Thomas-Oneal,1960,Retail,"West Gregoryside, MD",938,4731.78
282,Thompson Ltd,1965,Manufacturing,"Lake Lauraside, KY",13476,4909.51
283,"Romero, Ellis and Wilkinson",1994,Retail,"Deniseville, MI",10973,2314.52
284,"Norman, Dickerson and Moore",1963,Retail,"Avilamouth, MO",1944,2534.69
285,Price-Jackson,2020,Retail,"South Michaelside, WI",7415,948.78
286,Stone Group,1955,Finance,"East Monica, MS",4910,5228.46
287,"Jones, Lang and Harper",1955,Manufacturing,"Christopherview, WI",16968,8095.43
288,"Sandoval, Wilson and Barnett",1989,Retail,"South Micheleton, AZ",14683,6067.82
289,Fuller Group,1995,Technology,"Anthonyland, OR",9631,4195.39
290,Carter Group,1997,Food & Beverage,"South Patrick, OH",8127,389.65
291,Gregory-Henry,1979,Healthcare,"Marymouth, ID",8190,3309.25
292,Moore-Davis,1963,Food & Beverage,"New Deborahton, LA",11380,6786.36
293,"Brown, Rivera and Barron",1962,Technology,"Lake Joe, AR",5064,1883.69
294,Cook and Sons,1994,Finance,"New Heathermouth, PA",17410,7274.94
295,"Buchanan, Cox and Taylor",2009,Technology,"Henrymouth, MI",7356,1991.87
296,Baker-Williams,1992,Manufacturing,"South Juan, OK",9189,4793.69
297,Olsen Inc,1985,Finance,"Lake Bruce, VT",8089,8936.81
298,Bailey Ltd,2016,Finance,"New Evanborough, KY",5395,5178.47
299,Campos PLC,1978,Finance,"Leachbury, WA",5340,3667.9
300,Campbell Group,1990,Manufacturing,"Aprilland, FL",4854,557.15
301,Ortiz and Sons,2012,Healthcare,"East Joelview, RI",8426,7095.78
302,Hernandez-Deleon,1982,Healthcare,"Rachelborough, GA",9911,45.29
303,"Brooks, Liu and Thomas",1972,Technology,"North Mistybury, MI",2838,9014.65
304,Goodwin-Bailey,1998,Technology,"New Bradley, TX",5658,5613.32
305,Holmes PLC,1952,Technology,"Phillipsburgh, SC",14006,5665.34
306,"Miller, Kane and Morris",1991,Manufacturing,"West Frankport, RI",5743,6059.68
307,"Collins, Johnson and Thompson",1952,Healthcare,"Hickmanmouth, FL",6766,6352.85
308,Ward-Morgan,1966,Food & Beverage,"Port Johnny, ND",17386,718.47
309,"Burton, Gilbert and Hernandez",1988,Finance,"North Gloria, MA",6093,8947.85
310,Smith PLC,2005,Retail,"Ashleytown, NH",4877,723.04
311,Gould-Graham,1982,Food & Beverage,"South Justin, LA",19071,8073.06
312,Weaver-Marshall,1959,Retail,"Dawnhaven, DC",16690,9679.19
313,Ware-Stephens,1953,Technology,"South Daniel, PA",18745,8112.02
314,"Barron, Villanueva and Durham",1961,Retail,"New Patricia, NH",13478,7174.41
315,"Smith, Jordan and Sullivan",2011,Manufacturing,"Riveratown, OR",3476,791.57
316,Day Ltd,2014,Healthcare,"Rodriguezburgh, HI",261,6976.52
317,Simpson-Mccann,2017,Retail,"Port Christy, ME",8128,1878.83
318,"Jones, Cooley and Acosta",2002,Food & Beverage,"West Thomas, FL",18130,2303.78
319,Bush PLC,2014,Food & Beverage,"Port Laura, MD",19146,6114.15
320,"Baker, Turner and Morris",1961,Retail,"Lake Elizabeth, DC",17548,9240.66
321,"Garrett, Johnson and Martin",1988,Retail,"Gregorybury, MD",5436,8972.63
322,Richards-Jimenez,2017,Healthcare,"North Jessica, AK",4377,5451.66
323,Alexander Inc,2014,Manufacturing,"Johnsonfurt, FL",9106,5317.06
324,Perez-Smith,2010,Finance,"West Sabrina, WI",13763,7198.55
325,Davis-Bradford,1952,Healthcare,"Port Melissachester, WV",13764,1175.64
326,Thompson-Romero,1961,Retail,"Port Thomas, IN",7635,7698.16
327,Wiggins-Farley,2008,Food & Beverage,"Tuckerville, MN",9775,2117.51
328,"Chaney, Graves and Williams",2009,Manufacturing,"Michaelburgh, IA",4886,943.68
329,Taylor-Cohen,1984,Manufacturing,"Joshuafurt, IN",11943,4904.86
330,Pearson-French,1983,Healthcare,"Janetbury, WI",17137,2684.13
331,Dawson-Park,2016,Retail,"Mistyfurt, SD",5963,3790.69
332,"Allen, Leonard and Pitts",1981,Food & Beverage,"North Matthew, DC",17710,1410.31
333,"Conley, Johns and Davis",2006,Finance,"Smithshire, IA",8858,2003.6
334,Franco-Wallace,2016,Retail,"Lake Jeanmouth, WA",4728,9215.69
335,"Hanna, Moreno and Frost",1967,Finance,"North Jill, MA",10638,7192.65
336,"Mcdowell, Carlson and Green",2017,Retail,"New Tina, FL",7230,4394.88
337,Jones-Bowers,2021,Food & Beverage,"Sandersview, WA",4098,533.9
338,Green-Booker,1967,Technology,"New Susan, NV",15428,5411.28
339,Smith-Bell,1996,Food & Beverage,"Markchester, FL",16417,732.11
340,"Lee, Scott and Davis",2018,Food & Beverage,"Gailfort, FL",4741,3183.35
341,Logan-Jenkins,2020,Retail,"New Benjaminside, MO",11322,2035.39
342,"Williams, Smith and Morgan",2013,Technology,"Amyhaven, DC",13729,2854.81
343,"Barker, Romero and Miller",1987,Food & Beverage,"East Marcus, FL",9413,9292.95
344,"Lee, Bridges and Richardson",2018,Technology,"Port Angela, HI",16917,568.07
345,"James, Brown and Anderson",1998,Healthcare,"New Jack, NJ",18770,1905.64
346,Jensen LLC,1958,Food & Beverage,"West Christinaland, OH",14602,5315.01
347,Shaw PLC,1977,Food & Beverage,"Lawrenceport, MS",12520,8384.14
348,Perez PLC,1958,Food & Beverage,"Wangborough, OR",19667,659.27
349,Velazquez Ltd,1974,Healthcare,"Woodsville, CO",17501,1882.68
